"Provinsi","Produksi Tanaman Sayuran","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bawang Merah (Ton)","Bawang Putih (Ton)","Bawang Daun (Ton)","Kentang (Ton)","Kubis (Ton)","Kembang Kol (Ton)","Petsai/Sawi (Ton)","Wortel (Ton)","Lobak (Ton)","Kacang Merah (Ton)","Kacang Panjang (Ton)","Cabai Besar (Ton)","Cabai Rawit (Ton)","Tomat (Ton)","Terung (Ton)","Buncis (Ton)","Ketimun (Ton)","Labu Siam (Ton)","Kangkung (Ton)","Bayam (Ton)","Melinjo (Ton)","Paprika (Ton)","Jamur (Kg)","Petai (Ton)","Jengkol (Ton)"
"","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021"
"ACEH","10136","30","1280","15997","4225","605","3206","389","-","-","12558","58382","51686","11706","11598","585","12936","14830","7307","4312","20669","-","82","1433","6539"
"SUMATERA UTARA","53962","805","15632","159014","233761","59100","74908","141446","-","-","28386","210220","78663","203162","51320","49856","22975","14047","23071","17980","4878","-","304","26951","8463"
"SUMATERA BARAT","200366","1839","44149","15201","174387","16080","35283","25457","-","-","24961","115766","35118","97271","107268","41738","29201","32046","10722","7125","8528","-","203","30786","26157"
"RIAU","329","-","1","-","-","-","1673","-","-","-","9163","14097","6694","151","10168","8","16808","577","10646","8378","1767","-","847","2309","6572"
"JAMBI","13264","132","4436","129336","51461","1724","12219","6754","-","-","7474","59855","11526","23890","14819","4285","5776","11215","4190","3761","2619","90","97","4514","11043"
"SUMATERA SELATAN","1125","36","3099","524","4151","339","4055","2359","-","-","10568","23556","11562","8836","13441","3537","12488","3145","7275","3973","2353","-","703","7363","10850"
"BENGKULU","990","252","18429","3573","76689","12690","35634","42366","-","-","6358","48778","16278","30868","80660","29803","14522","15738","2693","721","2960","-","2748","1517","4190"
"LAMPUNG","1762","112","3964","179","6073","833","10180","5579","-","-","15652","34550","10921","15934","21523","4454","12491","2647","13933","8362","17224","-","4817","18033","17858"
"KEP. BANGKA BELITUNG","208","-","198","-","8","-","1654","-","-","-","2783","5059","3954","1147","3801","516","5184","339","2461","1116","301","-","33","872","527"
"KEP. RIAU","33","-","246","-","10","-","1495","-","-","-","3954","2967","1627","425","463","255","3062","-","3441","2561","153","-","147","491","529"
"DKI JAKARTA","2","-","-","-","6","7","2684","-","-","-","-","-","1","-","15","-","-","-","5344","3469","185","-","-","53","-"
"JAWA BARAT","170650","963","167008","240482","231871","26326","188944","135117","-","-","83112","343067","137456","292309","99958","86093","148272","106410","67178","34491","58894","4373","23417","81238","18336"
"JAWA TENGAH","564255","25545","130556","277725","226695","39359","109294","153026","-","-","30142","169282","179287","77297","47511","27560","28270","114872","29284","10442","65905","83","12005","108378","13375"
"DI YOGYAKARTA","29809","-","96","29","1","189","4136","-","-","-","2363","38378","15933","949","2718","322","1428","64","5791","2038","17898","-","1104","5582","313"
"JAWA TIMUR","500992","4220","98008","324338","193026","38134","82613","91666","-","-","38070","127429","578883","93121","90519","28596","53570","48127","38480","13766","31750","7781","41583","71681","1796"
"BANTEN","1190","1","258","4","51","87","6786","216","-","-","14372","6406","3993","1190","5387","55","17858","33","12388","8972","47680","-","329","10657","8605"
"BALI","23215","1040","1055","114","38992","1820","24519","1780","-","-","5957","11747","29175","12172","1560","7036","7835","70119","5920","943","356","85","68","3","-"
"NUSA TENGGARA BARAT","222620","9223","2103","2036","13064","923","3628","5053","-","-","10038","16086","62539","28514","8094","2324","3483","1347","4642","826","1189","-","1015","53","6"
"NUSA TENGGARA TIMUR","11430","579","2137","410","3418","759","13376","3377","-","-","6817","3218","9076","10605","14471","4448","6200","15884","14483","5155","125","150","2","448","-"
"KALIMANTAN BARAT","104","-","1009","-","28","23","5118","5","-","-","7222","2791","6332","4108","7254","1835","10933","262","4762","2701","1272","1","75","4844","10224"
"KALIMANTAN TENGAH","34","-","1954","-","28","94","2839","-","-","-","6962","1711","6961","3505","6467","2927","7816","95","2788","1578","1355","-","264","2175","3015"
"KALIMANTAN SELATAN","389","-","808","-","11","48","1441","-","-","-","4749","8977","11758","5067","5225","1958","4905","-","1638","1673","872","-","258","3294","963"
"KALIMANTAN TIMUR","72","-","426","-","4","120","6915","-","-","-","9691","5916","8367","9101","10810","5239","12248","119","12331","5334","1521","42","55","936","716"
"KALIMANTAN UTARA","88","-","1282","-","-","-","1891","-","-","-","1596","4161","5819","6008","12200","1197","5522","90","4114","2378","280","-","2","633","20"
"SULAWESI UTARA","4986","11","81469","120187","75085","1319","48022","55002","-","-","3186","9042","17371","66711","13197","1932","3553","42031","5018","612","375","-","1","-","-"
"SULAWESI TENGAH","4652","211","6879","656","36735","624","14766","6212","-","-","2978","6528","22199","17634","5062","1330","2956","5336","2877","1172","59","12","18","85","133"
"SULAWESI SELATAN","183210","47","38203","71083","59868","1637","15590","44209","-","-","12899","17822","26423","63373","11301","7321","8404","13462","14232","6642","36","-","241","2386","1233"
"SULAWESI TENGGARA","1015","-","508","-","121","98","1191","2","-","-","4309","2411","4287","4800","5820","203","2183","876","3951","2436","231","-","2","539","1034"
"GORONTALO","346","6","14","-","2","1","25","-","-","-","159","909","13032","2808","238","-","91","9","131","17","-","-","-","2","-"
"SULAWESI BARAT","693","36","246","101","2","-","633","8","-","-","2410","2466","3336","1483","1522","45","1263","125","1877","1372","-","-","-","13","-"
"MALUKU","1013","-","456","3","880","91","3804","7","-","-","2805","2029","3596","4024","3271","1173","2744","1577","4918","1800","280","23","-","295","5"
"MALUKU UTARA","1231","-","725","-","20","23","1238","-","-","-","2401","3040","3733","5449","3136","419","1497","785","1674","539","332","-","-","5","1"
"PAPUA BARAT","118","5","198","71","261","44","1635","43","-","-","2779","911","3808","2214","1696","1173","2348","188","3607","2349","49","23","-","53","96"
"PAPUA","304","-","1021","2","3740","289","6073","18","-","-","6813","3016","5054","8569","3846","2550","3118","559","8027","2711","73","1","-","68","10"
"INDONESIA","2004590","45092","627853","1361064","1434670","203385","727467","720090","-","-","383685","1360571","1386447","1114399","676339","320774","471941","516954","341196","171706","292167","12665","90420","387691","152609"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Pengumpulan data hortikultura dilakukan oleh Kepala Cabang Dinas (KCD)/Mantri Tani/Petugas Pengumpul Data Dinas Pertanian Kabupaten/Kota dengan metode perkiraan pengamatan lapang. Pengumpulan data menggunakan daftar register kecamatan dan daftar isian Survei Pertanian Hortikultura (SPH). Pengumpulan data menjadi tanggung jawab Dinas Pertanian Kabupaten/Kota. Pemeriksaan kelengkapan dan kebenaran isian dokumen SPH dilakukan oleh Dinas Pertanian Kabupaten/Kota. Hasilnya diserahkan kepada BPS Kabupaten/Kota untuk diolah. Validasi data dilakukan dalam forum sinkronisasi hasil pengolahan dan pencatatan baik di tingkat provinsi maupun pusat. 2. Mulai tahun 2021 untuk tanaman Lobak dan tanaman Kacang Merah tidak di publikasikan lagi","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source Url: https://www.bps.go.id/indicator/55/61/1/produksi-tanaman-sayuran.html","","","","","","","","","","","","","","","","","","","","","","","","",""
"Access Time: May 9, 2023, 8:09 pm","","","","","","","","","","","","","","","","","","","","","","","","",""
